"","year","variable","abb","state","value","value_real","drop"
"81",1951,"z_gasoline_tax","NE","Nebraska",NA,NA,NA
"82",1951,"z_gasoline_tax","NH","New Hampshire",NA,NA,NA
"83",1951,"z_gasoline_tax","NJ","New Jersey",0.03,0.254905658982271,NA
"84",1951,"z_gasoline_tax","NM","New Mexico",NA,NA,NA
"85",1951,"z_gasoline_tax","NV","Nevada",0.055,0.436788664048897,NA
"86",1951,"z_gasoline_tax","NY","New York",0.04,0.362948051793398,NA
"87",1951,"z_gasoline_tax","OH","Ohio",0.04,0.410380982392739,NA
"88",1951,"z_gasoline_tax","OK","Oklahoma",0.0658,0.801491816376762,NA
"89",1951,"z_gasoline_tax","OR","Oregon",0.06,0.622223752210511,NA
"90",1951,"z_gasoline_tax","PA","Pennsylvania",0.05,0.49685313841533,NA
"91",1951,"z_gasoline_tax","RI","Rhode Island",0.04,0.322210039174232,NA
"92",1951,"z_gasoline_tax","SC","South Carolina",0.07,1.00657009887273,NA
"93",1951,"z_gasoline_tax","SD","South Dakota",NA,NA,NA
"94",1951,"z_gasoline_tax","TN","Tennessee",0.07,0.982489475081147,NA
"95",1951,"z_gasoline_tax","TX","Texas",0.04,0.555136446736738,NA
"96",1951,"z_gasoline_tax","UT","Utah",NA,NA,NA
"97",1951,"z_gasoline_tax","VA","Virginia",0.06,0.748556283916858,NA
"98",1951,"z_gasoline_tax","VT","Vermont",0.05,0.407448960712398,NA
"99",1951,"z_gasoline_tax","WA","Washington",0.065,0.686903482540484,NA
"100",1951,"z_gasoline_tax","WI","Wisconsin",0.04,0.394075293909334,NA
"101",1951,"z_gasoline_tax","WV","West Virginia",0.05,0.624976704149597,NA
"102",1951,"z_gasoline_tax","WY","Wyoming",NA,NA,NA
"103",1952,"z_gasoline_tax","AK","Alaska",NA,NA,NA
"104",1952,"z_gasoline_tax","AL","Alabama",0.06,0.837285216055359,NA
"105",1952,"z_gasoline_tax","AR","Arkansas",0.065,0.906889937693553,NA
"106",1952,"z_gasoline_tax","AZ","Arizona",0.05,0.512512336261624,NA
"107",1952,"z_gasoline_tax","CA","California",0.045,0.492474273540666,NA
"108",1952,"z_gasoline_tax","CO","Colorado",0.06,0.592846865052159,NA
"109",1952,"z_gasoline_tax","CT","Connecticut",0.04,0.302778049920576,NA
"110",1952,"z_gasoline_tax","DC","District of Columbia",NA,NA,NA
"111",1952,"z_gasoline_tax","DE","Delaware",0.05,0.404665736373591,NA
"112",1952,"z_gasoline_tax","FL","Florida",0.07,0.840652009395853,NA
"113",1952,"z_gasoline_tax","GA","Georgia",0.06,0.801942260958084,NA
"114",1952,"z_gasoline_tax","HI","Hawaii",NA,NA,NA
"115",1952,"z_gasoline_tax","IA","Iowa",0.04,0.392813203543792,NA
"116",1952,"z_gasoline_tax","ID","Idaho",0.06,0.615209145621396,NA
"117",1952,"z_gasoline_tax","IL","Illinois",0.04,0.378704399929827,NA
"118",1952,"z_gasoline_tax","IN","Indiana",0.04,0.397325344842392,NA
"119",1952,"z_gasoline_tax","KS","Kansas",0.05,0.47986506946675,NA
"120",1952,"z_gasoline_tax","KY","Kentucky",0.07,0.938301512357367,NA
"121",1952,"z_gasoline_tax","LA","Louisiana",0.07,0.902011355471724,NA
"122",1952,"z_gasoline_tax","MA","Massachusetts",0.043,0.365131723014067,NA
"123",1952,"z_gasoline_tax","MD","Maryland",0.05,0.520471157460467,NA
"124",1952,"z_gasoline_tax","ME","Maine",0.06,0.518236674735206,NA
"125",1952,"z_gasoline_tax","MI","Michigan",0.045,0.449847668983547,NA
"126",1952,"z_gasoline_tax","MN","Minnesota",0.05,0.483028492039389,NA
"127",1952,"z_gasoline_tax","MO","Missouri",0.03,0.293248200357055,NA
"128",1952,"z_gasoline_tax","MS","Mississippi",0.07,1.07415332662965,NA
"129",1952,"z_gasoline_tax","MT","Montana",0.06,0.582055736755165,NA
"130",1952,"z_gasoline_tax","NC","North Carolina",0.07,0.987036001667345,NA
"131",1952,"z_gasoline_tax","ND","North Dakota",0.05,0.45930244748881,NA
"132",1952,"z_gasoline_tax","NE","Nebraska",0.05,0.456241990803021,NA
"133",1952,"z_gasoline_tax","NH","New Hampshire",0.05,0.396471738685268,NA
"134",1952,"z_gasoline_tax","NJ","New Jersey",0.03,0.249537131080188,NA
"135",1952,"z_gasoline_tax","NM","New Mexico",0.06,0.628855838680176,NA
"136",1952,"z_gasoline_tax","NV","Nevada",0.055,0.427589526642659,NA
"137",1952,"z_gasoline_tax","NY","New York",0.04,0.35530406028778,NA
"138",1952,"z_gasoline_tax","OH","Ohio",0.04,0.401738013173945,NA
"139",1952,"z_gasoline_tax","OK","Oklahoma",0.0658,0.784611723538566,NA
"140",1952,"z_gasoline_tax","OR","Oregon",0.06,0.609119195782508,NA
"141",1952,"z_gasoline_tax","PA","Pennsylvania",0.05,0.486388992573511,NA
"142",1952,"z_gasoline_tax","RI","Rhode Island",0.04,0.3154240243227,NA
"143",1952,"z_gasoline_tax","SC","South Carolina",0.07,0.985370884576365,NA
"144",1952,"z_gasoline_tax","SD","South Dakota",0.05,0.456319208377145,NA
"145",1952,"z_gasoline_tax","TN","Tennessee",0.07,0.961797419019896,NA
"146",1952,"z_gasoline_tax","TX","Texas",0.04,0.543444805491753,NA
"147",1952,"z_gasoline_tax","UT","Utah",0.05,0.499996424525568,NA
"148",1952,"z_gasoline_tax","VA","Virginia",0.06,0.732791057943786,NA
"149",1952,"z_gasoline_tax","VT","Vermont",0.05,0.398867742117805,NA
"150",1952,"z_gasoline_tax","WA","Washington",0.065,0.672436716540677,NA
"151",1952,"z_gasoline_tax","WI","Wisconsin",0.04,0.385775736454898,NA
"152",1952,"z_gasoline_tax","WV","West Virginia",0.05,0.611814168273744,NA
"153",1952,"z_gasoline_tax","WY","Wyoming",0.05,0.429643410362453,NA
"154",1953,"z_gasoline_tax","AK","Alaska",0.02,0.158833958991416,NA
"155",1953,"z_gasoline_tax","AL","Alabama",0.06,0.830613620776649,NA
"156",1953,"z_gasoline_tax","AR","Arkansas",0.065,0.89966372312609,NA
"157",1953,"z_gasoline_tax","AZ","Arizona",0.05,0.508428572585377,NA
"158",1953,"z_gasoline_tax","CA","California",0.045,0.48855017572031,NA
"159",1953,"z_gasoline_tax","CO","Colorado",0.06,0.588122985691027,NA
"160",1953,"z_gasoline_tax","CT","Connecticut",0.04,0.300365476000599,NA
"161",1953,"z_gasoline_tax","DC","District of Columbia",0.05,0.516323976951198,NA
