description,units,source key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
All sectors : Delaware,cents per kilowatthour,ELEC.PRICE.DE-ALL.A,6.8,6.91,6.96,7.53,7.76,10.13,11.35,12.38,12.2,11.97,11.48,11.06,10.9,11.22,11.17,11.09,10.9,10.55,10.52,10.24,10.56
All sectors : District Of Columbia,cents per kilowatthour,ELEC.PRICE.DC-ALL.A,7.4,7.34,7.4,7.47,9.18,11.08,11.79,13.18,13.23,13.35,12.81,11.85,11.85,12.11,12.07,11.73,11.8,12.03,12.27,11.9,12.84
All sectors : Florida,cents per kilowatthour,ELEC.PRICE.FL-ALL.A,7.67,7.31,7.72,8.16,8.76,10.45,10.33,10.74,11.49,10.58,10.61,10.44,10.22,10.77,10.49,9.91,10.42,10.32,10.44,10.06,10.75
All sectors : Georgia,cents per kilowatthour,ELEC.PRICE.GA-ALL.A,6.39,6.24,6.32,6.58,7.43,7.63,7.86,8.84,8.81,8.87,9.61,9.37,9.69,10.03,9.62,9.59,9.83,9.62,9.86,9.93,10.59
All sectors : Maryland,cents per kilowatthour,ELEC.PRICE.MD-ALL.A,6.6,6.18,6.45,7.15,8.13,9.95,11.5,13.01,13.09,12.71,11.93,11.28,11.66,12.1,12.07,12.21,11.98,11.57,11.24,11.15,11.5
All sectors : North Carolina,cents per kilowatthour,ELEC.PRICE.NC-ALL.A,6.58,6.74,6.86,6.97,7.19,7.53,7.83,7.96,8.48,8.67,8.64,9.15,9.24,9.33,9.37,9.2,9.04,9.25,9.45,9.43,9.42
All sectors : South Carolina,cents per kilowatthour,ELEC.PRICE.SC-ALL.A,5.77,5.83,6.08,6.22,6.72,6.98,7.18,7.85,8.42,8.49,8.8,9.1,9.24,9.67,9.58,9.79,9.97,9.67,10.02,9.9,10.16
All sectors : Virginia,cents per kilowatthour,ELEC.PRICE.VA-ALL.A,6.18,6.23,6.27,6.43,6.64,6.86,7.12,8,8.93,8.69,8.84,9.07,8.96,9.17,9.31,9.09,9.18,9.48,9.52,9.16,9.28
All sectors : West Virginia,cents per kilowatthour,ELEC.PRICE.WV-ALL.A,5.07,5.11,5.13,5.13,5.15,5.04,5.34,5.61,6.65,7.45,7.88,8.14,7.91,7.65,8.11,8.98,9,8.72,8.49,8.75,8.89
All sectors : East South Central,,ELEC.PRICE.ESC-ALL.A,,,,,,,,,,,,,,,,,,,,,
All sectors : Alabama,cents per kilowatthour,ELEC.PRICE.AL-ALL.A,5.6,5.71,5.88,6.08,6.46,7.07,7.57,8.59,8.83,8.89,9.1,9.18,9.02,9.27,9.33,9.56,9.83,9.63,9.83,9.84,10.31
All sectors : Kentucky,cents per kilowatthour,ELEC.PRICE.KY-ALL.A,4.24,4.26,4.42,4.63,5.01,5.43,5.84,6.26,6.52,6.73,7.17,7.26,7.69,8.15,8.14,8.42,8.57,8.52,8.61,8.58,9.15
All sectors : Mississippi,cents per kilowatthour,ELEC.PRICE.MS-ALL.A,6.26,6.24,6.46,7,7.54,8.33,8.03,8.99,8.85,8.59,8.78,8.6,9.11,9.6,9.53,8.67,9.09,9.24,9.28,9.13,9.67
All sectors : Tennessee,cents per kilowatthour,ELEC.PRICE.TN-ALL.A,5.59,5.72,5.84,6.14,6.31,6.97,7.07,8.18,8.69,8.61,9.28,9.27,9.13,9.4,9.3,9.23,9.45,9.58,9.69,9.52,9.86
All sectors : West South Central,,ELEC.PRICE.WSC-ALL.A,,,,,,,,,,,,,,,,,,,,,
All sectors : Arkansas,cents per kilowatthour,ELEC.PRICE.AR-ALL.A,6.05,5.61,5.57,5.67,6.3,6.99,6.96,7.6,7.57,7.28,7.43,7.62,7.93,7.9,8.19,8.13,8.26,7.78,8.22,8.32,9.07
All sectors : Louisiana,cents per kilowatthour,ELEC.PRICE.LA-ALL.A,6.96,5.99,6.93,7.13,8.03,8.3,8.39,9.44,7.06,7.8,7.68,6.9,8.04,8.09,7.65,7.46,7.79,7.71,7.71,7.51,8.82
All sectors : Oklahoma,cents per kilowatthour,ELEC.PRICE.OK-ALL.A,6.1,5.59,6.35,6.5,6.85,7.3,7.29,7.81,6.94,7.59,7.8,7.54,7.86,8.18,7.9,7.83,8.2,8.09,7.86,7.63,8.83
All sectors : Texas,cents per kilowatthour,ELEC.PRICE.TX-ALL.A,7.38,6.62,7.5,7.95,9.14,10.34,10.11,10.99,9.86,9.34,9,8.55,8.66,8.94,8.7,8.43,8.38,8.48,8.6,8.36,9.31
All sectors : Mountain,,ELEC.PRICE.MTN-ALL.A,,,,,,,,,,,,,,,,,,,,,
