"Current-dollar Gross Domestic Product (GDP), million dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,"29,496.9","31,059.8","34,239.9","38,083.1","37,489.0","38,673.2","40,490.6","44,327.9","48,642.8","51,125.8","53,934.5","56,200.8","54,064.1","55,587.6","56,941.1","58,323.9","61,835.8","64,575.2","65,899.9","68,837.4","71,730.3","77,395.4","82,847.2","85,927.8","96,282.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,"415,534.8","436,567.1","460,331.1","487,014.6","501,552.8","514,361.1","533,022.5","563,060.8","589,811.8","624,242.9","650,145.2","654,657.5","649,862.7","666,404.8","692,880.8","726,399.1","741,121.5","771,356.1","799,930.5","807,043.2","824,913.4","865,661.0","889,540.1","856,942.9","945,673.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,"170,431.9","184,359.8","193,147.3","203,801.1","205,470.9","212,837.8","225,442.7","239,743.6","248,170.5","259,602.8","273,509.5","275,538.7","263,326.8","282,562.2","291,356.1","300,513.9","312,138.5","327,958.3","331,945.7","340,500.7","352,601.0","373,196.8","381,132.3","373,781.6","412,975.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,"74,662.3","78,382.0","81,883.8","86,099.0","88,883.6","91,584.2","95,359.9","99,083.0","105,526.3","114,091.9","123,878.7","128,604.3","125,348.9","128,591.3","136,358.9","141,818.2","144,483.2","150,183.6","154,958.2","160,451.0","165,182.5","172,343.0","176,564.4","177,580.9","191,380.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,"104,546.2","109,382.3","115,106.8","114,169.2","117,647.9","122,435.3","127,982.2","135,529.3","145,011.1","153,408.4","157,163.7","159,883.8","157,479.8","166,408.7","171,586.9","178,143.7","184,524.4","187,983.8","193,413.1","196,484.9","201,872.2","208,558.6","218,494.7","216,865.6","237,182.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,"116,313.2","120,198.1","125,807.3","132,640.8","137,901.2","139,800.9","155,092.4","171,006.1","199,594.7","207,773.8","203,041.0","212,392.4","204,906.9","225,308.9","229,945.0","235,384.7","230,832.5","240,737.3","235,113.5","227,090.7","241,213.4","256,677.8","255,481.9","232,527.8","258,571.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,"237,267.4","249,299.0","264,644.4","288,791.0","296,868.7","301,836.4","311,188.6","326,737.1","341,993.2","359,270.0","378,519.1","390,778.4","390,504.8","411,136.1","425,523.0","442,916.9","454,321.2","470,468.5","498,851.3","514,637.6","531,008.0","563,054.3","589,904.3","585,150.3","641,332.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,"159,372.1","169,982.1","180,261.6","192,021.4","205,981.0","217,837.1","228,959.3","245,124.5","262,100.0","274,145.3","282,965.6","295,400.2","299,102.7","314,728.3","326,281.2","332,523.5","340,577.6","352,761.3","369,728.1","387,733.4","400,157.0","410,812.2","420,371.3","410,931.0","443,929.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,"30,618.4","32,156.2","34,413.2","36,890.3","38,605.7","40,466.2","42,315.2","45,210.0","47,078.5","49,045.4","50,459.3","50,713.2","51,123.8","52,256.2","52,575.5","53,679.7","54,470.1","56,410.8","58,131.3","60,254.4","62,253.6","65,477.1","68,690.4","70,740.0","77,963.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,"299,817.7","312,688.1","338,312.4","352,152.4","349,885.8","363,660.8","374,174.2","385,621.1","400,268.9","401,869.0","409,615.4","390,420.9","368,733.8","390,043.0","404,554.7","422,691.2","437,274.4","451,773.2","474,983.3","490,264.0","502,130.4","520,245.1","532,217.0","520,105.3","572,205.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
