"Real Gross Domestic Product (GDP), million chained (2012) dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"231,714","245,676","254,089","264,122","259,475","265,345","277,152","287,656","290,328","296,113","304,086","300,963","279,521","297,517","299,065","300,514","307,279","316,783","313,751","319,602","324,998","336,327","337,902","327,278","346,241",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"104,575","108,184","111,006","114,031","114,328","116,195","118,193","119,392","123,950","130,365","137,094","139,537","134,227","135,723","139,579","141,818","141,723","145,344","148,811","153,695","155,515","158,734","159,826","158,348","162,291",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"146,523","150,774","155,612","151,495","151,834","155,644","159,991","164,650","171,180","175,658","174,407","173,810","166,704","173,780","175,745","178,144","181,506","181,472","182,916","184,115","185,921","187,927","192,972","188,396","197,818",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"200,863","207,612","211,953","205,723","208,618","213,079","221,774","232,713","247,773","245,500","230,368","232,151","236,411","246,836","234,976","235,385","228,453","235,355","233,016","228,429","233,352","237,298","237,045","218,422","221,153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"302,724","315,040","331,602","358,122","362,664","362,582","369,007","379,086","386,804","395,536","406,421","414,920","407,220","425,793","434,495","442,917","444,874","451,569","468,061","475,349","482,808","501,542","514,171","500,001","533,102",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"221,212","231,806","240,946","250,772","261,533","270,468","278,332","290,285","301,661","305,794","306,756","314,758","311,342","325,370","332,437","332,524","334,269","339,605","348,152","360,082","366,204","367,977","368,056","352,384","368,571",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"42,942","44,140","46,351","48,490","49,471","50,910","52,210","54,256","54,927","55,448","55,360","54,654","53,630","54,305","53,789","53,680","53,239","54,038","54,426","55,565","56,469","58,100","59,553","59,881","63,595",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"396,975","406,052","429,936","438,464","425,103","436,802","443,652","448,888","457,138","449,854","446,943","420,974","383,140","404,217","414,834","422,691","428,738","434,313","443,831","452,325","457,614","466,559","467,107","448,455","481,778",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"212,378","223,655","232,068","247,803","247,599","253,478","264,166","275,560","284,637","284,382","286,299","288,421","277,494","287,140","293,783","298,328","305,486","314,091","318,913","324,030","327,483","336,892","340,557","328,490","346,204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"227,797","231,693","238,452","244,706","243,060","247,437","252,677","259,741","265,735","267,221","267,691","273,436","266,835","270,733","268,534","271,535","274,599","276,081","279,021","279,109","281,253","284,540","290,620","282,754","295,687",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
