"Total energy consumption, billion Btu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,"701,005","705,734","764,902","802,968","857,040","917,174","997,589","1,062,811","1,154,038","1,228,189","1,280,820","1,348,865","1,435,584","1,555,110","1,495,568","1,489,772","1,552,529","1,628,701","1,683,045","1,729,590","1,717,236","1,694,324","1,679,709","1,749,228","1,875,179","1,931,023","1,953,662","2,049,053","2,138,263","2,219,567","2,216,211","2,205,008","2,250,675","2,403,877","2,423,951","2,607,462","2,767,321","2,744,916","2,783,049","2,803,980","2,920,928","2,818,753","2,936,048","2,956,845","3,097,207","3,110,770","3,087,831","3,078,378","2,946,557","2,912,076","3,146,322","3,031,813","2,844,901","2,904,119","2,974,195","2,974,892","2,948,596","2,922,964","3,000,415","2,952,547","2,723,253","2,833,492",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,"94,839","113,754","108,286","114,265","123,433","130,560","145,474","163,865","182,799","190,862","196,947","211,673","218,057","224,312","212,103","214,378","220,042","233,334","236,970","256,604","262,347","236,718","218,095","221,150","232,426","248,554","245,329","249,461","289,691","309,767","321,419","295,150","306,030","282,651","299,033","296,774","283,060","273,483","273,387","269,351","273,306","270,121","284,661","300,913","314,718","324,734","327,282","337,816","276,626","275,893","297,486","302,659","297,213","301,838","295,573","299,448","301,031","309,320","307,152","308,584","232,804","270,780",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,"601,996","600,070","626,526","644,262","669,473","696,730","698,683","747,574","781,902","821,912","850,609","862,483","904,471","962,796","949,663","942,050","979,112","979,937","962,094","1,038,993","983,303","968,673","969,163","953,081","936,823","897,903","901,984","906,929","978,710","940,800","949,263","985,355","976,971","1,039,917","1,071,231","1,109,452","1,152,715","1,139,792","1,148,872","1,199,639","1,196,131","1,167,631","1,197,176","1,192,800","1,247,169","1,278,342","1,303,065","1,378,607","1,441,784","1,448,135","1,497,850","1,507,106","1,440,217","1,522,276","1,541,273","1,508,895","1,535,860","1,575,270","1,637,146","1,641,392","1,530,614","1,567,276",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,"190,661","202,853","211,160","213,298","230,412","234,742","245,066","266,750","287,248","286,782","296,399","311,605","334,033","337,008","347,813","358,858","362,198","366,421","369,908","384,011","347,655","361,884","350,310","345,649","346,809","354,814","342,134","345,498","365,706","399,732","409,001","417,097","422,133","437,169","452,508","466,129","501,272","504,020","507,513","533,204","544,380","503,420","498,672","471,950","503,534","514,313","526,508","541,391","537,298","502,202","522,845","520,475","513,454","529,112","523,880","538,562","538,232","555,116","554,689","564,752","548,784","572,997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,"2,523,973","2,558,990","2,656,186","2,719,427","2,849,301","3,026,466","3,185,513","3,315,076","3,450,826","3,634,712","3,696,737","3,722,756","3,929,667","4,019,481","3,956,458","3,860,591","4,019,369","4,099,481","4,199,421","4,049,381","3,768,260","3,547,208","3,394,044","3,472,747","3,502,000","3,434,273","3,416,921","3,472,023","3,702,319","3,619,228","3,612,494","3,678,495","3,650,581","3,753,510","3,773,746","3,886,599","3,970,151","3,944,363","3,856,606","4,024,011","4,029,158","3,905,500","3,920,038","3,945,573","3,993,439","4,140,654","3,991,819","4,081,331","4,083,959","3,864,048","3,985,415","3,981,074","3,856,195","4,019,265","4,098,655","3,934,336","3,936,035","3,901,837","4,031,312","3,965,739","3,630,723","3,723,620",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,"1,530,437","1,551,091","1,580,987","1,635,028","1,714,801","1,798,393","1,919,366","1,952,042","2,043,409","2,157,093","2,219,775","2,236,217","2,435,885","2,474,472","2,432,022","2,377,767","2,410,240","2,485,596","2,535,537","2,585,762","2,400,197","2,359,274","2,177,454","2,197,757","2,271,002","2,301,292","2,262,531","2,380,691","2,484,357","2,517,053","2,488,999","2,471,077","2,459,877","2,569,179","2,555,521","2,621,213","2,702,821","2,683,207","2,672,890","2,783,212","2,867,279","2,770,456","2,856,081","2,937,199","2,930,253","2,924,177","2,859,709","2,958,525","2,917,143","2,712,475","2,851,846","2,824,186","2,741,045","2,869,893","2,909,494","2,824,763","2,775,468","2,672,798","2,805,187","2,778,669","2,564,299","2,726,823",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,"631,316","618,147","639,460","641,033","657,075","723,629","763,521","722,888","793,842","839,336","874,267","908,254","961,171","966,322","959,652","924,911","972,467","981,082","1,037,084","1,132,093","1,022,129","947,309","944,960","917,190","1,016,638","1,011,726","974,201","1,015,692","1,069,693","1,042,967","1,074,411","1,070,458","1,057,384","1,085,841","1,111,842","1,078,398","1,109,687","1,101,174","1,088,848","1,108,311","1,116,109","1,063,914","1,099,484","1,140,145","1,121,296","1,067,023","1,095,718","1,157,469","1,119,535","1,087,973","1,109,712","1,097,483","1,068,115","1,096,174","1,133,130","1,101,036","1,092,546","1,075,127","1,135,802","1,129,045","1,069,374","1,073,739",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,"823,236","818,917","836,442","888,319","890,219","899,590","905,831","953,994","1,014,155","1,073,330","1,104,720","1,117,666","1,203,074","1,236,974","1,228,332","1,278,425","1,400,423","1,414,018","1,400,112","1,432,637","1,367,982","1,297,313","1,262,083","1,276,623","1,375,310","1,329,732","1,304,571","1,341,279","1,419,083","1,509,038","1,489,868","1,515,784","1,582,211","1,618,620","1,671,777","1,741,938","1,761,014","1,767,765","1,725,018","1,815,367","1,802,618","1,832,560","1,989,605","1,923,756","1,998,031","2,018,197","2,009,346","2,044,160","2,008,086","1,930,240","2,002,909","1,934,775","1,900,476","1,841,287","1,779,131","1,729,283","1,703,242","1,660,930","1,743,860","1,712,246","1,585,083","1,688,543",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,"1,502,163","1,564,830","1,580,187","1,747,248","1,866,221","1,832,996","1,973,892","2,236,542","2,422,111","2,701,453","2,836,864","2,897,554","3,083,286","3,317,510","3,408,243","3,107,626","3,535,790","3,936,486","4,095,231","4,044,689","3,908,929","3,961,906","3,637,354","3,431,465","3,575,817","3,340,207","3,500,802","3,564,236","3,601,826","3,759,315","3,704,139","3,708,377","3,817,827","3,883,991","4,020,890","4,064,879","4,240,432","4,328,538","4,047,864","4,026,488","4,330,579","3,823,437","3,958,145","3,809,616","4,011,693","3,854,682","4,026,180","4,286,897","4,228,087","4,035,089","4,124,618","4,137,822","4,008,050","3,919,863","3,940,380","3,911,649","4,031,037","4,208,259","4,247,240","4,283,276","4,200,997","4,282,133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,"1,054,127","1,079,950","1,111,915","1,083,270","1,119,625","1,245,258","1,247,984","1,326,492","1,373,613","1,402,415","1,464,384","1,493,798","1,546,466","1,581,551","1,475,055","1,420,313","1,499,176","1,486,580","1,471,615","1,308,451","1,246,693","1,215,717","1,234,902","1,231,961","1,292,240","1,313,664","1,383,264","1,404,906","1,427,362","1,459,706","1,418,231","1,376,471","1,443,841","1,445,182","1,451,556","1,436,967","1,463,140","1,456,922","1,428,046","1,450,435","1,535,713","1,516,967","1,533,528","1,499,086","1,498,061","1,503,540","1,432,783","1,458,172","1,435,829","1,375,161","1,430,955","1,408,756","1,373,574","1,442,081","1,452,576","1,468,500","1,426,530","1,432,353","1,469,343","1,464,978","1,278,224","1,343,692",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,"697,260","699,934","748,394","775,284","823,757","859,906","900,300","915,531","968,996","1,023,972","1,067,972","1,104,522","1,122,760","1,214,593","1,123,057","1,069,386","1,148,110","1,129,827","1,154,687","1,219,177","1,156,510","1,140,938","1,102,129","1,120,386","1,192,374","1,160,048","1,182,435","1,249,115","1,288,359","1,320,439","1,277,680","1,274,478","1,264,902","1,315,345","1,323,800","1,341,801","1,380,811","1,386,411","1,384,577","1,425,265","1,459,886","1,451,217","1,539,539","1,590,448","1,570,234","1,596,813","1,482,301","1,505,959","1,466,519","1,454,693","1,485,962","1,432,008","1,390,939","1,413,579","1,425,130","1,423,210","1,385,623","1,346,001","1,390,574","1,354,091","1,211,420","1,269,241",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,"232,332","244,897","237,907","241,423","242,725","232,176","244,258","256,811","271,194","288,283","302,380","353,571","380,418","378,940","354,413","324,651","380,599","396,866","384,636","363,580","381,550","380,501","426,436","391,587","418,276","423,461","444,354","433,183","484,767","478,996","430,659","435,294","449,327","452,399","461,886","431,302","458,152","443,177","418,462","430,397","463,343","426,028","430,762","430,431","443,142","447,801","427,755","450,333","455,348","412,887","417,926","417,830","401,322","414,076","414,903","424,752","392,405","385,086","388,145","384,129","364,886","371,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,"1,851,644","1,876,674","1,985,156","2,072,621","2,140,394","2,278,302","2,430,278","2,490,875","2,627,315","2,734,264","2,702,538","2,798,196","2,970,324","3,060,405","2,916,310","2,865,742","2,983,999","2,873,174","2,942,354","2,923,445","2,824,417","2,673,062","2,525,049","2,521,430","2,597,220","2,634,458","2,651,892","2,639,558","2,812,015","2,845,535","2,866,603","2,800,618","2,850,077","2,847,744","2,871,299","3,000,186","3,105,729","3,106,640","3,058,629","3,227,372","3,225,008","3,104,288","3,161,372","3,202,233","3,164,951","3,215,169","3,046,605","3,022,749","2,915,379","2,689,993","2,779,932","2,818,940","2,714,929","2,865,217","2,909,249","2,825,750","2,805,339","2,796,976","2,910,564","2,879,272","2,611,239","2,710,244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,"723,031","728,237","766,680","775,637","816,048","865,284","922,187","929,413","991,475","1,081,915","1,107,892","1,148,516","1,209,799","1,257,708","1,237,566","1,246,041","1,293,627","1,257,346","1,350,594","1,350,455","1,224,226","1,176,563","1,187,287","1,190,390","1,251,746","1,258,254","1,245,900","1,251,390","1,355,217","1,392,696","1,409,665","1,434,833","1,442,310","1,486,122","1,522,324","1,612,469","1,685,217","1,653,900","1,624,327","1,700,105","1,749,107","1,720,944","1,785,661","1,863,727","1,863,445","1,871,803","1,843,500","1,896,785","1,913,253","1,787,538","1,857,100","1,854,389","1,816,725","1,888,720","1,944,372","1,819,728","1,843,950","1,867,704","1,950,896","1,915,573","1,743,962","1,820,568",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,"899,857","898,673","939,806","954,239","989,314","1,043,038","1,102,147","1,132,505","1,211,237","1,265,602","1,309,269","1,326,842","1,383,498","1,418,725","1,399,043","1,412,553","1,471,585","1,505,717","1,556,126","1,530,220","1,422,627","1,364,588","1,361,929","1,364,968","1,382,791","1,405,803","1,407,765","1,430,886","1,500,220","1,511,766","1,506,669","1,540,305","1,532,026","1,645,347","1,658,124","1,717,666","1,804,740","1,802,761","1,849,558","1,890,358","1,831,457","1,864,062","1,878,573","1,883,450","1,894,079","1,982,290","1,967,681","1,985,695","1,948,878","1,844,687","1,925,512","1,868,353","1,788,544","1,850,954","1,911,014","1,830,229","1,780,639","1,740,710","1,859,951","1,804,164","1,701,313","1,759,960",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,"404,939","411,387","438,300","473,278","513,324","511,644","566,410","579,960","645,521","684,793","746,912","786,107","830,744","847,974","817,314","771,990","778,923","819,170","849,268","877,571","833,876","817,881","814,290","819,939","858,698","837,167","846,367","868,802","917,601","959,292","1,019,810","1,042,158","1,067,309","1,076,443","1,093,733","1,120,526","1,148,611","1,148,411","1,141,236","1,238,413","1,245,835","1,132,667","1,174,307","1,206,235","1,209,335","1,175,656","1,211,461","1,225,189","1,166,061","1,111,085","1,153,454","1,128,276","1,112,887","1,090,993","1,101,991","1,084,805","1,071,758","1,068,138","1,106,474","1,093,769","1,037,607","1,085,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,"227,460","241,691","248,275","252,510","263,813","258,824","275,598","260,368","280,467","314,298","322,784","333,934","342,383","347,660","351,944","345,409","365,130","361,105","383,374","397,177","360,216","337,187","316,999","323,449","359,490","370,198","352,552","329,241","341,806","351,807","350,590","355,349","349,443","367,830","371,882","391,902","397,805","367,605","391,346","395,931","410,631","357,848","381,613","379,721","401,702","422,087","441,656","469,914","456,669","426,785","404,796","403,448","396,340","405,014","403,901","402,293","404,505","420,958","434,632","444,389","428,108","433,522",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,"826,470","858,960","902,745","930,073","967,053","1,000,435","1,089,558","1,137,963","1,211,104","1,281,029","1,342,676","1,403,918","1,480,269","1,551,096","1,501,847","1,458,782","1,558,503","1,633,866","1,665,364","1,730,521","1,667,382","1,629,516","1,592,073","1,668,995","1,800,225","1,797,051","1,879,993","1,966,269","2,044,646","2,064,537","2,064,098","2,053,070","2,146,014","2,234,705","2,242,614","2,361,657","2,449,409","2,428,449","2,474,626","2,494,294","2,612,315","2,551,460","2,575,450","2,594,351","2,668,617","2,702,237","2,650,024","2,686,308","2,698,571","2,555,588","2,755,615","2,628,241","2,537,213","2,555,302","2,600,012","2,593,370","2,617,015","2,573,226","2,682,002","2,653,419","2,468,156","2,627,564",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,"159,415","154,763","164,872","170,619","172,006","169,405","180,786","185,106","191,968","192,560","191,117","195,302","203,742","202,197","204,358","206,515","210,442","210,359","230,012","237,989","222,373","236,161","234,682","230,477","259,557","300,438","303,900","302,940","306,556","319,110","312,939","322,894","329,126","332,142","342,000","350,175","353,238","359,732","347,752","375,585","381,565","407,370","401,218","400,838","404,459","409,142","416,023","437,978","444,397","435,403","473,968","526,250","550,014","593,045","642,009","608,671","584,102","634,449","663,571","683,930","626,222","703,928",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,"307,836","314,944","327,421","334,977","347,076","348,616","389,146","385,223","422,750","455,912","487,481","496,173","509,525","522,129","518,540","525,658","554,831","556,876","556,658","545,126","507,068","477,613","492,029","502,801","506,451","499,912","482,525","495,732","535,116","533,925","533,802","542,836","531,594","560,302","585,367","613,636","644,490","658,015","674,687","664,584","667,989","664,390","675,942","685,709","697,628","704,826","721,474","757,842","796,063","778,851","867,437","863,373","852,900","872,098","878,298","857,511","870,192","872,802","908,614","906,442","863,488","897,959",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,"112,158","119,931","128,225","133,691","133,091","131,247","144,764","149,526","159,459","176,217","186,601","201,058","212,305","216,617","206,500","201,882","226,976","230,352","233,236","210,760","208,260","200,294","201,336","204,533","224,289","233,475","252,309","273,261","273,541","272,775","267,260","253,893","261,635","261,384","264,573","267,526","279,664","279,217","282,000","292,260","309,761","306,523","316,339","325,619","332,093","326,092","307,906","309,086","301,470","297,891","299,013","296,889","287,772","306,234","314,409","316,769","307,667","318,353","325,805","319,734","295,747","301,559",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,"1,301,938","1,361,749","1,460,847","1,501,224","1,538,414","1,569,751","1,667,786","1,768,292","1,841,016","1,896,202","1,977,939","1,970,817","2,079,998","2,122,047","1,981,582","1,883,779","2,070,578","2,005,608","2,020,375","2,032,650","2,042,226","2,026,137","2,064,991","2,087,571","2,184,942","2,137,379","2,200,878","2,276,016","2,293,960","2,354,785","2,262,857","2,290,889","2,372,204","2,381,582","2,491,671","2,487,290","2,488,065","2,502,221","2,459,977","2,574,678","2,483,343","2,458,353","2,491,234","2,520,171","2,564,619","2,659,546","2,541,901","2,666,580","2,594,192","2,371,665","2,288,610","2,276,097","2,172,182","2,217,102","2,230,023","2,181,698","2,138,630","2,087,829","2,191,848","2,096,958","1,891,493","1,999,786",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
