"","abb","year","est","std_err"
"1","AK",1999,-1.40168236515,0.484595258344926
"2","AK",2000,-1.4635935538,0.491956858921385
"3","AK",2001,-1.4369456375,0.479934599421624
"4","AK",2002,-1.46376268955,0.477598387011708
"5","AK",2003,-1.453891475,0.48326653955014
"6","AK",2004,-1.4491828843,0.479551418270876
"7","AK",2005,-1.4511615196,0.479515512490956
"8","AK",2006,-1.4519382035,0.481185619146655
"9","AK",2007,-1.46093800615,0.463702844959008
"10","AK",2008,-0.95181318267,0.392798668147762
"11","AK",2009,-0.962062446885,0.407639132172621
"12","AK",2010,-0.42738249601785,0.314963208270669
"13","AK",2011,-0.4348275788915,0.302023506215032
"14","AK",2012,-0.4315024116695,0.327724860822438
"15","AK",2013,-0.4299358964275,0.313581372860904
"16","AK",2014,-0.4344922473255,0.322847156430197
"17","AK",2015,-0.433412122659,0.326745802650578
"18","AK",2016,-0.443144218099,0.317138961519022
"19","AK",2017,-0.1832745460429,0.279529574597544
"20","AK",2018,-0.1775866002596,0.278153418127228
"21","AK",2019,-0.333733004971,0.317817948316796
"22","AK",2020,-0.3107484170975,0.293611824296911
"23","AL",1999,-0.675536536515,0.388661469764828
"24","AL",2000,-0.75355934066,0.383145243360958
"25","AL",2001,-0.7506073882095,0.386255998168953
"26","AL",2002,-0.755915048,0.379171203697429
"27","AL",2003,-0.7579986605835,0.387259978720519
"28","AL",2004,-0.752321153775,0.368072189285327
"29","AL",2005,-0.75303477534,0.374558352644633
"30","AL",2006,-0.5611370185,0.354293733169769
"31","AL",2007,-0.343353677274,0.305689178534978
"32","AL",2008,-0.34045979768855,0.31750558300618
"33","AL",2009,-0.354024687532,0.296980917500732
"34","AL",2010,-0.34445634616495,0.297508745617297
"35","AL",2011,-0.3433960797715,0.309400581830558
"36","AL",2012,-0.3512170385055,0.306367365988234
"37","AL",2013,-0.3444071319687,0.303411019074187
"38","AL",2014,-0.3489781398395,0.314301280725706
"39","AL",2015,-0.1888186010675,0.285758286981287
"40","AL",2016,-0.188674329311,0.286209778011202
"41","AL",2017,-0.2686727643065,0.293006689363628
"42","AL",2018,-0.2759312700895,0.289217348125945
"43","AL",2019,-0.3996353203725,0.313524266844407
"44","AL",2020,-0.3861786725605,0.322407365489174
"45","AR",1999,-1.4493278368,0.512376931740699
"46","AR",2000,-1.501955678,0.514093890083852
"47","AR",2001,-1.17201387288,0.459645621533733
"48","AR",2002,-1.15875737185,0.434146642899646
"49","AR",2003,-1.1596618617,0.436666906675286
"50","AR",2004,-1.1563043309,0.422491203746855
"51","AR",2005,-0.885449614345,0.39318772020893
"52","AR",2006,-0.88919889175,0.390672245880362
"53","AR",2007,-0.63542217856,0.356133925306731
"54","AR",2008,-0.3662440497785,0.313602730062903
"55","AR",2009,-0.3772812422007,0.321502130746458
"56","AR",2010,-0.170930022595,0.282180310164153
"57","AR",2011,0.0170456889565,0.266449660169446
"58","AR",2012,0.013519412215,0.264669663320673
"59","AR",2013,0.21040636629455,0.251181188284294
"60","AR",2014,0.21769387958995,0.264750613448624
"61","AR",2015,0.22129594214,0.257909758700776
"62","AR",2016,0.2143601315635,0.273996413227427
"63","AR",2017,0.210695570413,0.253955017373373
"64","AR",2018,0.2116713316875,0.257003358580614
"65","AR",2019,0.28524646687835,0.277866740292606
"66","AR",2020,0.30017567127285,0.25961563344795
"67","AZ",1999,-0.759001543345,0.398254971015378
"68","AZ",2000,-0.828948994615,0.381465760511651
"69","AZ",2001,-0.819558003465,0.384521520352976
"70","AZ",2002,-0.836822375655,0.401814327757555
"71","AZ",2003,-0.608553912521,0.365052659207035
"72","AZ",2004,-0.6128545383355,0.359843914819603
"73","AZ",2005,-0.391848719815,0.306413001549097
"74","AZ",2006,0.167953784299,0.249501974558044
"75","AZ",2007,0.293023280143,0.254617468109356
"76","AZ",2008,0.373982856743,0.237387245541061
"77","AZ",2009,0.37931310377,0.239093688773906
"78","AZ",2010,0.744507268345,0.225399414196567
"79","AZ",2011,0.8751809095,0.215452935845596
"80","AZ",2012,0.8084160887,0.222786848016388
"81","AZ",2013,0.8163211645,0.219239550207425
"82","AZ",2014,0.8179795655,0.218648211141471
"83","AZ",2015,0.827837402,0.220139608071881
"84","AZ",2016,0.975511,0.230563044366622
"85","AZ",2017,0.950684489,0.233694939986519
"86","AZ",2018,0.954833747,0.225084683399492
"87","AZ",2019,0.986907308,0.225170479083017
"88","AZ",2020,0.946312432,0.229632471728128
"89","CA",1999,-0.4076701372525,0.37053193878745
"90","CA",2000,-0.492230154584,0.333899823876351
"91","CA",2001,0.08862492597115,0.294514547906474
"92","CA",2002,0.4352942407255,0.252007261417501
"93","CA",2003,0.48909221411,0.272082090841423
"94","CA",2004,0.8932683762,0.241026671291841
"95","CA",2005,1.2394089435,0.262023402078862
"96","CA",2006,1.4919117605,0.268272634604195
"97","CA",2007,1.8258815175,0.290735247009262
"98","CA",2008,1.95847877,0.297540508624327
"99","CA",2009,1.972053795,0.296668771888035
"100","CA",2010,1.97668768,0.297990426124143
"101","CA",2011,1.968498665,0.304732544975674
"102","CA",2012,1.96701217,0.281929703440116
"103","CA",2013,2.100424595,0.302633251378886
"104","CA",2014,2.12156448,0.308238340283521
"105","CA",2015,2.14927583,0.306705470674036
"106","CA",2016,2.215372755,0.303096965472106
"107","CA",2017,2.241695085,0.305447732235577
"108","CA",2018,2.45078233,0.301930979123124
"109","CA",2019,2.485095245,0.311105571816622
"110","CA",2020,2.59776813,0.317581248826196
"111","CO",1999,-1.1385112686,0.469060414540105
