"","State","Year","CI","EI","RealGDP","Population","IncomePerCapita","CoalPrice","NatGasPrice","OilPrice","Emissions","Area","PropFarmWages","PropMiningWages","PropRenewableConsumption","PropNatGasConsumption","GDPPerCapita","CoalValue","NatGasValue","OilValue","AdjMeanChamber","AdjPercentUnion","PropRenewableProduction","PropCoalProduction","PropNatGasProduction","PropOilProduction","Weighted_GHI","Weighted_Speed120m"
"960","TN","2014",54,7.49,306153.1,6545,40230,2.64,7.47,26.08,102.5,41328,0.00173521812050238,0.00179192545065251,0.0883830810671267,0.14241134764644,46.7766386554622,0.187216918593998,0.146641337291701,0.163046266720801,0.8845,0.054,0.0120692909843802,0.0436000626558866,0.0120692909843802,0.00384369766124854,0.265716894584274,2.52902058754362
"961","TN","2015",53.7,7.15,325294,6595,41942,2.58,5.98,18.26,98.7,41328,0.00133137371739304,0.00171457667270101,0.0903838967387462,0.148040484023355,49.3243366186505,0.183942402872478,0.091163132427896,0.094978450263454,0.8955,0.069,0.0104874695992387,0.0490472665750238,0.0104874695992387,0.00357830178703606,0.265716894584274,2.52902058754362
"962","TN","2016",53.4,7.11,336413.9,6651,42943,2.37,5.2,15.92,101.4,41328,0.00145558643721058,0.00144668196961027,0.0774442341851404,0.152484288733678,50.5809502330477,0.116917047720085,0.0646108855787469,0.0696116301972065,0.8975,0.084,0.00860509017846298,0.0341650900961176,0.00860509017846298,0.00302825063457393,0.265716894584274,2.52902058754362
"963","TN","2017",51.9,6.72,350838.7,6715,44411,2.38,5.92,18.09,97.4,41328,0.00147141998917274,0.00148362866353371,0.0852482919882623,0.154679837881734,52.2470141474311,0.0757608553446356,0.0593115867776274,0.0799729049275351,0.912,0.077,0.00682007799918508,0.0216690273385203,0.00682007799918508,0.00300937154387939,0.265716894584274,2.52902058754362
"964","TN","2018",48.5,6.9,363055.5,6778,46452,2.31,5.72,20.74,93.8,41328,0.00131769041053409,0.00162019020025043,0.0892212829580682,0.181155066403392,53.5638093832989,0.0376796936005652,0.0588770587417075,0.0684372499521423,0.9125,0.062,0.00649726600192988,0.0102961758799649,0.00649726600192988,0.00208288056470752,0.265716894584274,2.52902058754362
"965","TN","2019",48.2,6.55,380128.5,6830,48889,2.34,5.32,19.69,92.3,41328,0.00101483345825677,0.0016195401024272,0.0882711265236836,0.193658840475267,55.655710102489,0.0698130763675967,0.0450787562626849,0.0622615247212456,0.919,0.054,0.00565364450318665,0.0199062348061595,0.00565364450318665,0.00210980462366667,0.265716894584274,2.52902058754362
"966","TN","2020",45.6,6.3,379007.1,6926,51928,2.16,4.9,15.9,83.3,41328,0.00105944200257375,0.001519143730663,0.104009023528783,0.19556702958012,54.7223650014438,0.0135467646912155,0.0370531317223345,0.0362882383997556,0.92,0.04,0.00484692281283876,0.00401993563367681,0.00484692281283876,0.00146287098154415,0.265716894584274,2.52902058754362
"967","TX","1998",53.3,13.14,645142.6,20158,25543,1.25,2.54,5.24,656.5,262134,0.00243575966620616,0.0347517960099547,0.00950235739638976,0.359990931889014,32.0042960611172,1.31175650158585,23.6337751994675,23.7741076158976,0.371,0.075,0.593000308511814,0.0668803824716686,0.593000308511814,0.289153512930083,0.565555931379376,1.32030732142556
"968","TX","1999",53.93,12.26,679870.3,20558,26452,1.21,2.73,6.09,646.86,262134,0.00258815545331285,0.0329917657913846,0.00837480596948073,0.35103792012517,33.0708386029769,1.1959732466619,23.1594221868495,23.3394598793329,0.368,0.08,0.605629859897192,0.070563205453281,0.605629859897192,0.273599762097299,0.565555931379376,1.32030732142556
"969","TX","2000",54.46,12.19,738677,20944,28253,1.23,4.29,8.66,673,262134,0.00226251366334592,0.0323939833862268,0.00835887158445709,0.37475368755215,35.2691462948816,1.05296739982428,34.7853229760775,30.149778563567,0.368,0.085,0.618668219619575,0.0653173976621627,0.618668219619575,0.265634998292075,0.565555931379376,1.32030732142556
