"","State","Year","Chamber","CI","EI","GDPCurrent","Renewables","NatGas","FarmWages","MiningWages","Population","IncomePC","ManuUnion","TotalProd","CoalProd","RenProd","GasProd","OilProd","CoalPrice","NatPrice","OilPrice","Emissions","Area","GDPpc","CoalValue","NatValue","OilValue","CI_Lag1","EI_Lag1","Emissions_Lag1","Weighted_GHI","Weighted_Speed120m"
"342","IN",2017,10.863,68.7,8.22,352601,1.06876950671169,1.27982623453026,0.00276003784670097,0.00279258781111353,6662,44570,1.135,990156,1.72048949862446,1.00622932144026,1.00622932144026,1.01028221815552,2.51,5.93,18.6,175.9,36097,52.9271990393275,6.07833633483739,1.10373266099642,1.53705633279543,68.7,8.22,175.9,0.0926887256104804,1.48163085142971
"343","IN",2018,10.8645,68.3,8.34,373196.8,1.06775840612408,1.31742375820222,0.00290896367767252,0.00275937270871607,6698,46556,1.127,1067739,1.73204032071508,1.00495626740243,1.00495626740243,1.00899939030044,2.48,5.79,21.13,189.2,36097,55.7176470588235,6.19414271505008,1.08210327634106,1.54405120837049,68.3,8.34,189.2,0.0926887256104804,1.48163085142971
"344","IN",2019,10.874,66.4,8.22,381132.3,1.06745207867508,1.33618649792401,0.00219558731402204,0.0028094500573878,6731,48270,1.101,983746,1.72400294384933,1.0053936686909,1.0053936686909,1.0091456534512,2.69,5.31,20,176.2,36097,56.6234289110088,6.02689525395775,1.07392409407442,1.47211952385038,66.4,8.22,176.2,0.0926887256104804,1.48163085142971
"345","IN",2020,10.879,65,7.84,373781.6,1.07113094065864,1.34064085350421,0.0023112410745857,NA,6789,51719,1.081,710094,1.63480046303729,1.00622311975598,1.00622311975598,1.01123654051435,2.61,4.89,16.59,154.4,36097,55.0569450581824,4.14757195110728,1.05781159372211,1.35414158963416,65,7.84,154.4,0.0926887256104804,1.48163085142971
"346","KS",1998,10.2415,62,10.06,78382,1.00908758614609,1.29851825048124,0.0082983145397645,0.00626078924923238,2661,26201,1.171,1004103,1.00742752486548,1.66689373500527,1.66689373500527,1.20529567185837,0.98,4.12,7.23,70.1,81787,29.4558436677941,1.09324640861422,36.1978209282743,20.0142856778342,62,10.06,70.1,0.147852572666792,0.35493068917896
"347","KS",1999,10.222,63.29,9.98,81883.8,1.00915086108502,1.2725074460147,0.00723864416318658,0.00554131635403743,2678,26871,1.237,908969,1.00985402142427,1.68685510726988,1.68685510726988,1.18533855390008,0.96,4.09,7.86,73.27,81787,30.5764749813294,1.10501124764605,32.1845529885032,17.1710939160127,63.29,9.98,73.27,0.147852572666792,0.35493068917896
"348","KS",2000,10.222,64.72,9.79,86099,1.00888802079367,1.28211223097386,0.00748937950305982,0.00580692193464879,2694,28166,1.192,906013,1.00476372855577,1.65716606715356,1.65716606715356,1.22062045467339,0.99,5.48,10.54,75.8,81787,31.9595397178916,1.04962705722482,38.8958812529762,25.4693654978571,64.72,9.79,75.8,0.147852572666792,0.35493068917896
"349","KS",2001,10.2915,63.87,9.31,88883.6,1.01027244683311,1.25740990343204,0.00798234627465008,0.00635957225898361,2702,29047,1.194,866244,1.00426785062869,1.6286335028006,1.6286335028006,1.22726160296637,1.05,6.82,10.01,71.83,81787,32.8954848260548,1.04367341106796,42.7830848435482,23.1706663546481,63.87,9.31,71.83,0.147852572666792,0.35493068917896
"350","KS",2002,10.289,65,9.46,91584.2,1.01779016338573,1.27961480112489,0.00709493616615658,0.00549883365947835,2714,29218,1.172,836858,1.00519920942382,1.62411305143764,1.62411305143764,1.23134629769925,0.99,5.12,9.49,76.3,81787,33.7450994841562,1.04703311269848,30.1987622319134,21.0613420218771,65,9.46,76.3,0.147852572666792,0.35493068917896
"351","KS",2003,10.219,65.3,9.65,95359.9,1.01922299356661,1.24972437716255,0.00740850103352163,0.0058615678939959,2723,30029,1.174,799242,1.00413767044274,1.60024998686255,1.60024998686255,1.24653734413357,1.02,6.78,10.92,78.8,81787,35.0201615864855,1.03537273004691,35.1094223043439,23.5640920344925,65.3,9.65,78.8,0.147852572666792,0.35493068917896
